Date,Price,Open,High,Low,Vol.,Change %
02-01-2026,40.48,37.89,40.74,37.8,199.21M,7.89%
01-01-2026,37.52,36.3,38.16,36.04,85.39M,3.53%
31-12-2025,36.24,36.8,37.5,35.91,48.24M,-0.93%
30-12-2025,36.58,35.6,36.8,35.33,48.54M,3.25%
29-12-2025,35.43,36.37,36.43,34.85,37.84M,-2.10%
26-12-2025,36.19,36.45,37.25,35.86,94.12M,2.38%
24-12-2025,35.35,34.98,35.9,34.75,45.90M,1.73%
23-12-2025,34.75,34.64,36.1,34.17,71.22M,0.32%
22-12-2025,34.64,33.6,35.1,33.3,142.32M,0.76%
19-12-2025,34.38,32.01,34.38,32.01,252.31M,9.98%
18-12-2025,31.26,32.8,33.44,30.76,185.45M,-4.98%
17-12-2025,32.9,34.65,36.17,32.67,149.33M,-4.58%
16-12-2025,34.48,37,37.1,34.16,72.00M,-7.76%
15-12-2025,37.38,36.46,37.9,36.1,37.95M,1.88%
12-12-2025,36.69,36.8,37.48,36.03,50.05M,0.08%
11-12-2025,36.66,34.06,37.7,33.82,98.23M,6.76%
10-12-2025,34.34,35,35.3,34.02,37.61M,-1.15%
09-12-2025,34.74,34.11,35.25,33.2,85.50M,1.85%
08-12-2025,34.11,36,36.44,33.6,76.14M,-3.92%
05-12-2025,35.5,36,36.36,34.8,50.09M,-1.72%
04-12-2025,36.12,38.03,38.32,36.12,90.07M,-5.02%
03-12-2025,38.03,40.21,40.4,38.03,39.68M,-5.02%
02-12-2025,40.04,40.98,41.8,39.94,22.24M,-1.36%
01-12-2025,40.59,41,41.95,40.5,13.93M,-1.50%
28-11-2025,41.21,41.75,41.95,40.87,7.55M,-0.51%
27-11-2025,41.42,40.79,41.78,40.4,11.02M,1.62%
26-11-2025,40.76,40.9,41.75,40,13.61M,0.42%
25-11-2025,40.59,41,41.36,40.48,6.66M,-0.54%
24-11-2025,40.81,41.86,42.55,40.5,13.23M,-2.51%
21-11-2025,41.86,41.85,43.04,41.5,9.79M,-0.05%
20-11-2025,41.88,42,42.35,41,6.88M,-0.17%
19-11-2025,41.95,42.16,42.48,41.85,6.02M,-0.43%
18-11-2025,42.13,42.49,42.54,41.8,14.29M,-0.35%
17-11-2025,42.28,42.21,42.88,41.57,14.75M,-0.02%
14-11-2025,42.29,42.2,42.9,41.8,7.01M,0.21%
13-11-2025,42.2,42.99,42.99,41.72,13.40M,-2.29%
12-11-2025,43.19,43.02,44.4,41.8,20.38M,0.77%
11-11-2025,42.86,43.99,43.99,42.09,19.64M,-3.27%
10-11-2025,44.31,45.42,46.45,44.22,21.82M,-4.81%
07-11-2025,46.55,47.39,47.39,45.5,14.85M,-2.14%
06-11-2025,47.57,50.55,50.55,47.55,19.15M,-4.97%
04-11-2025,50.06,51.27,51.27,49.87,5.98M,-2.07%
03-11-2025,51.12,48.65,51.85,48.65,13.10M,1.95%
31-10-2025,50.14,50.99,51.23,50,6.75M,-1.65%
30-10-2025,50.98,51.4,51.6,50.9,7.52M,-1.24%
29-10-2025,51.62,51.88,52.52,51.13,7.15M,-0.06%
28-10-2025,51.65,51.2,53,51.2,11.53M,-0.06%
27-10-2025,51.68,51.5,52.82,50.55,15.66M,-2.16%
24-10-2025,52.82,53.6,53.96,52.5,7.26M,-1.62%
23-10-2025,53.69,52.7,54.37,52.21,12.55M,0.68%
21-10-2025,53.33,53.53,54.48,52.65,10.70M,-2.93%
20-10-2025,54.94,57.5,57.8,54.22,15.67M,-3.75%
17-10-2025,57.08,56.68,57.95,55,34.61M,3.07%
16-10-2025,55.38,53.59,55.38,53,25.55M,4.99%
15-10-2025,52.75,51.4,52.75,50.6,24.21M,5.00%
14-10-2025,50.24,50.5,50.6,48.6,15.69M,-0.06%
13-10-2025,50.27,49,51,48.5,17.43M,1.15%
10-10-2025,49.7,50,50.9,49.02,14.68M,-1.00%
09-10-2025,50.2,51.15,51.65,49.41,18.68M,-2.01%
08-10-2025,51.23,52.89,52.95,51,13.84M,-2.62%
07-10-2025,52.61,52.89,54.29,52.48,15.02M,-0.02%
06-10-2025,52.62,54,54.16,51.9,19.93M,-2.54%
03-10-2025,53.99,55.14,55.55,53.5,17.62M,-3.33%
01-10-2025,55.85,57.6,58.65,55.32,18.33M,-1.93%
30-09-2025,56.95,54.14,56.95,53.56,18.94M,5.00%
29-09-2025,54.24,54.75,54.88,53.1,21.34M,-1.24%
26-09-2025,54.92,55.35,55.4,53.56,19.47M,-2.00%
25-09-2025,56.04,56.85,57.24,54.55,18.05M,-1.49%
24-09-2025,56.89,58.45,58.6,56.53,13.01M,-2.32%
23-09-2025,58.24,58.1,59.2,57.55,16.66M,0.40%
22-09-2025,58.01,57.84,58.29,56.7,16.97M,0.59%
19-09-2025,57.67,57,58.7,56.5,22.14M,-0.07%
18-09-2025,57.71,58.81,58.81,57,21.17M,-1.87%
17-09-2025,58.81,59.59,59.94,58.11,21.31M,-0.88%
16-09-2025,59.33,60.75,61,58.6,27.82M,-1.95%
15-09-2025,60.51,59,61.02,57.5,34.71M,2.73%
12-09-2025,58.9,58,59.34,56.16,37.53M,1.59%
11-09-2025,57.98,58.55,59,56.56,34.61M,-2.32%
